ml_id,product_id,name,merge_name,strength_pack,판매사,제조사
ml_004,sp_004_00010_001,엘팍 C.TAB FILM 25MG 28,엘팍,C.TAB FILM 25MG 28,,한국팜비오
ml_004,sp_004_00011_001,엘팍 C.TAB FILM 50MG 28,엘팍,C.TAB FILM 50MG 28,,한국팜비오
ml_007,sp_007_00197_001,아토엘젯 정 10/40mg,아토엘젯 정 10/40mg,"atorvastatin calcium trihydrate 43.4㎎ (40㎎ as atorvastatin),  ezetimibe 10mg [634800ATB]",지엘파마,지엘파마
ml_007,sp_007_00615_001,*bezafibrate/gemfibrozil,*bezafibrate/gemfibrozil,,,
ml_007,sp_007_00616_001,*statin/omega-3,*statin/omega-3,,,
ml_007,sp_007_00617_001,*fibrate/ez,*fibrate/ez,,,
ml_008,sp_008_00152_001,알텔미,알텔미,,알리코,알리코
ml_008,sp_008_00416_001,트윈로우,트윈로우,,유한양행,유한양행
ml_008,sp_008_00418_001,트루베타,트루베타,,대웅바이오,대웅바이오
ml_008,sp_008_00420_001,텔로핀 셋,텔로핀 셋,,제뉴파마,제뉴파마
ml_008,sp_008_00421_001,텔미칸 에이 플러스,텔미칸 에이 플러스,,제일약품,제일약품
ml_008,sp_008_00587_001,엑스포텐,엑스포텐,,신일제약,신일제약
ml_009,sp_009_00127_001,탐시케어,탐시케어,,휴온스메디텍,휴온스메디텍
